prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1,2cnhL9Xb7jlTuUs4taxJSB,ITZY,WANNABE - English Ver.,0.822,0.902,6,-4.18,0,0.0587,0.00392,0.000102,0.192,0.69,122.004,191242,4,"k-pop, k-pop girl group"
1,2p0WmvGmzE3mKr3lc6ZB9g,ITZY,Not Shy - English Ver.,0.766,0.902,2,-2.991,0,0.0681,0.283,2.75e-06,0.156,0.625,100.988,177743,4,"k-pop, k-pop girl group"
1,77QE9S59GeSHtkU7GRE5PV,ITZY,DALLA DALLA - English Ver.,0.813,0.861,11,-4.601,0,0.0624,0.00102,9.42e-06,0.329,0.696,125.014,199874,4,"k-pop, k-pop girl group"
1,0QPYsEvaoEJzZLSF5Cq390,ITZY,LOCO - English Ver.,0.736,0.867,1,-3.051,1,0.216,0.00781,1.63e-05,0.351,0.534,101.957,191462,4,"k-pop, k-pop girl group"
1,14k4ALBLN2FjtELYDcQUoi,TWICE,MOONLIGHT,0.807,0.704,5,-5.496,0,0.071,0.0245,0,0.0535,0.961,115.995,219387,4,"k-pop, k-pop girl group, pop"
1,2VdU1ksBKcETBr8BYRHUvB,TWICE,ICON,0.746,0.809,6,-3.571,0,0.0484,0.0338,0,0.0756,0.816,149.984,176160,4,"k-pop, k-pop girl group, pop"
1,5mpWGq83n0sIgGRopGk5QZ,MOMOLAND,Wrap Me In Plastic,0.821,0.602,5,-2.916,0,0.0907,0.286,0,0.0862,0.776,179.932,192808,4,"k-pop, k-pop girl group"
1,53Abp3QVXDA9z1VmJsOBXm,TWICE,CANDY,0.853,0.734,8,-2.347,1,0.0363,0.212,0,0.0671,0.78,116.03,195053,4,"k-pop, k-pop girl group, pop"
1,7xuh3tFOyUadyh2Uqdv8ql,TOMORROW X TOGETHER,Love Story,0.696,0.726,11,-6.275,1,0.0389,0.119,0,0.119,0.27,118.978,235503,4,"k-pop, k-pop boy group"
1,6PhpEMMZLKA4dMX1NAfLnn,DAY6,Zombie (English Ver.),0.787,0.576,0,-4.082,1,0.0402,0.0071,0,0.116,0.527,121.968,209259,4,"k-pop, k-pop boy group"
1,6o2Pu5qZcinw4mlDlQZFqu,SEVENTEEN,2 MINUS 1 (Bonus Track),0.644,0.8,9,-5.936,1,0.226,0.106,0,0.32,0.813,159.879,190120,4,"k-pop, k-pop boy group"
1,0FR1Iylwto9er6yPeniyGR,A.C.E,CACTUS (Eng ver.),0.529,0.967,10,-2.884,0,0.0845,0.0048,2.81e-06,0.325,0.337,149.949,202108,4,"k-pop, k-pop boy group"
1,2ufe0UMTd8ay3irNf1kIsX,SUNMI,Borderline,0.519,0.712,10,-6.322,0,0.0355,0.217,0.00653,0.197,0.516,112.94,174347,4,k-pop
1,6i5SuCCAmy2wx6SDhsyCP5,WENDY,His Car Isn’t Yours,0.796,0.561,2,-7.308,1,0.231,0.517,0,0.0979,0.353,139.983,184053,4,"k-pop, korean pop"
1,1DZMfIJXzkmpxFEHkqIaPW,Young K,babo,0.839,0.578,7,-4.798,1,0.0414,0.368,0,0.126,0.707,84.008,185200,4,
1,2gkVEnpahpE3bQuvGuCpAV,Jung Kook,Yes or No,0.671,0.839,1,-2.645,1,0.0866,0.179,0,0.0748,0.882,83.845,147557,4,k-pop
