prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3,2O5j27YkttbDS68wVuBjyy,2Pac,Heaven Ain't Hard 2 Find,0.782,0.818,7,-5.322,0,0.113,0.151,0,0.0754,0.847,174.253,239227,4,"g funk, gangster rap, hip hop, rap, west coast rap"
3,5wcY4XgawQ2se8VjDLhedQ,Wu-Tang Clan,Wu-Tang: 7th Chamber,0.815,0.458,6,-12.775,1,0.43,0.411,2.41e-06,0.201,0.576,92.088,365200,4,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
3,1M6EwSkYkPYLv4pUMdy7w1,Kurdo,Nike Kappe umgekehrt,0.631,0.769,7,-4.667,1,0.328,0.0375,0,0.303,0.593,88.035,202667,4,"german hip hop, kurdish hip hop"
3,3ueXKzLXjLUXJDp0HBYWTx,XATAR,Interpol.com,0.622,0.739,6,-6.029,0,0.302,0.458,0,0.499,0.804,90.762,151560,4,"german hip hop, hamburg hip hop, kurdish hip hop"
3,3wMPlZKE9gx0nOL9NL5zyy,Figg Newton,ONE OF THEM ONES,0.772,0.667,8,-9.457,1,0.351,0.011,0,0.137,0.432,99.975,180245,4,west coast trap
3,4fQ0Ue4UsOOxQTcg4Q0Ies,Hanybal,Baller los,0.698,0.899,7,-5.46,1,0.452,0.109,1.52e-06,0.159,0.584,93.792,168991,4,german hip hop
3,7GKdCqzW1WMUQsbro6jS0u,Lil Travieso,Bangin The Park,0.875,0.71,6,-6.919,0,0.271,0.122,0,0.0727,0.432,88.002,155377,4,
3,4xkOaSrkexMciUUogZKVTS,Eminem,Till I Collapse,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,297787,4,"detroit hip hop, hip hop, rap"
3,4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,4,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
3,3vQir0wkIdLGq3Lc4V6J2y,N.W.A.,Chin Check,0.906,0.775,2,-5.775,1,0.268,0.0831,2.74e-05,0.15,0.838,100.054,221373,4,"conscious hip hop, gangster rap, golden age hip hop, hip hop, old school hip hop, rap, west coast rap"
3,2RBGVpS1TFGte80yy3rTL7,Gzuz,Optimal,0.527,0.714,10,-5.79,0,0.416,0.209,0,0.265,0.595,148.968,161840,4,"deep german hip hop, german hip hop, hamburg hip hop"
3,76wJIkA63AgwA92hUhpE2V,2Pac,Me Against The World,0.791,0.804,6,-3.865,1,0.221,0.0248,0.0301,0.48,0.765,91.938,279133,4,"g funk, gangster rap, hip hop, rap, west coast rap"
3,1Iqtd4SKQEWBELxemfoTkk,Miami Yacine,Europol,0.765,0.867,8,-5.362,1,0.4,0.166,0,0.0788,0.791,142.133,178246,3,"albanian hip hop, german hip hop"
3,7ztK7bcnIst4Dy0lTu37S6,AK AUSSERKONTROLLE,XY,0.759,0.84,10,-6.422,0,0.345,0.275,0,0.0804,0.312,93.708,167999,4,german hip hop
3,5XLC8xoqyua4U7wJiZAWik,Wu-Tang Clan,Method Man,0.904,0.429,11,-13.782,0,0.27,0.0268,0.000556,0.332,0.648,101.553,350640,4,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
3,5zd9TgduWbfFXwgnm3K3Rz,Three 6 Mafia,Poppin' My Collar (feat. Project Pat),0.729,0.795,7,-4.579,1,0.144,0.354,0,0.536,0.856,146.747,176880,4,"crunk, dirty south rap, gangster rap, memphis hip hop, southern hip hop, tennessee hip hop, trap"
3,5ADJ8noBAW9dBILgrE46Ka,Ice Cube,I Wanna Kill Sam,0.867,0.864,6,-7.467,0,0.294,0.197,3.8e-06,0.118,0.662,104.619,202427,4,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
3,1dF5Y2dd7Wm4wZKvVjWBpr,Bone Thugs-N-Harmony,1st of Tha Month,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,314680,4,"gangster rap, hip hop, ohio hip hop, rap"
3,6l4wMAXzI8RxIysQMYZY0w,Cypress Hill,How I Could Just Kill a Man,0.769,0.675,6,-13.326,1,0.0724,0.000722,0.000149,0.0904,0.803,101.884,252240,4,"chicano rap, gangster rap, hip hop, rap rock, west coast rap"
3,7B5bGlw1n5iEIMsUmGTypc,Coup,Tach Tach,0.668,0.761,5,-5.364,0,0.234,0.0706,3.53e-06,0.189,0.195,94.95,184627,4,
3,0eO8MW9YSTK3CjdaTYKlhF,Snoop Dogg,Who Am I (What’s My Name)?,0.734,0.735,7,-6.201,1,0.065,0.000813,3.25e-05,0.559,0.729,96.806,246200,4,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
