prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4,638ZqDkW3jdwkla129O2MZ,Jang Beom June,can't sleep,0.538,0.478,3,-5.315,0,0.032,0.721,0,0.315,0.395,79.986,275376,4,"korean pop, korean singer-songwriter"
4,3I71PFicYG614VGl6hqcUK,YB,나는 나비,0.593,0.708,11,-1.247,1,0.0382,0.0252,0,0.105,0.283,127.031,214907,4,"k-rock, korean indie rock"
4,3HIDWyZGwSe5MhrSP890nc,Lim Jae Hyun,Rhapsody of Sadness,0.367,0.585,3,-4.125,1,0.0323,0.299,0,0.13,0.236,135.952,235120,4,"k-pop ballad, korean pop"
4,3dvPPS5KXskeRbrSY80gwt,JEONG SEWOON,It`s you,0.38,0.417,2,-7.861,1,0.0317,0.722,0,0.0864,0.258,130.622,219506,4,"k-pop, korean ost"
4,3zM2yi75oB3v00sZvWUzIn,BTOB,Beautiful Pain,0.409,0.743,1,-4.536,1,0.0496,0.225,0,0.276,0.441,167.864,239572,4,"k-pop, k-pop boy group"
4,3xvuR15lzn3zu9RWJj2tvg,Kwon Jin Ah,Lonely Night,0.432,0.403,5,-6.07,1,0.0335,0.664,0,0.0976,0.206,171.567,242900,4,"k-indie, korean pop"
4,7s3ma1B1cC7rImNDYAHNxu,Yyeon,이제 우리 꿈에서만 만나,0.617,0.591,10,-5.701,1,0.0304,0.671,2.55e-06,0.106,0.425,144.014,139947,4,
4,1rVPj9cryjgB7MdaU6sqN3,Roy Kim,Bom Bom Bom,0.636,0.719,4,-5.986,1,0.0267,0.392,3.12e-05,0.303,0.603,94.993,208467,4,korean pop
4,2KhNgn4w8LHxn3ybLoofh4,BAEKHYUN,너를 사랑하고 있어,0.606,0.46,4,-9.171,1,0.0402,0.853,4.09e-06,0.0933,0.131,124.117,193931,4,k-pop
4,1K7POuN7vtBx5MCAi2W6DJ,Monday Kiz,My love has faded away,0.492,0.476,4,-4.901,1,0.0323,0.812,0,0.109,0.563,133.896,220467,4,korean pop
4,2h7nwPmQ8FmPdCy4wE8wPb,BIG MAMA,연,0.488,0.618,11,-7.587,0,0.0427,0.385,0,0.0345,0.335,131.663,295133,4,k-pop ballad
4,3TiVCPJrFiBzpAverOkPL1,Lee Moon Sae,소녀,0.577,0.235,5,-13.24,1,0.0325,0.718,0.000173,0.103,0.175,127.818,220053,4,"classic korean pop, korean pop"
4,4WUpMUjdoi47LY7gBQBXe3,Lim Young Woong,Grain of Sand,0.557,0.343,4,-9.641,1,0.0362,0.664,5.89e-05,0.122,0.112,64.961,220309,4,trot
4,5lEvC4905fBtL9GjJKionT,CHEN,Beautiful goodbye,0.561,0.257,3,-7.844,1,0.0348,0.933,0,0.169,0.337,129.84,269619,4,k-pop
4,4SQH8x0PnOqEWWgbAlXIXJ,MeloMance,Go Back,0.456,0.548,10,-4.565,1,0.0444,0.604,0,0.524,0.35,119.544,234000,4,"k-pop, korean pop"
4,2y4hHM6c48Qzk0bqh33XfB,IU,Winter Sleep,0.539,0.237,0,-8.452,1,0.0273,0.82,0,0.345,0.259,68.045,262120,4,"k-pop, pop"
4,10xEWyLu80xSy17g9jptlD,Younha,Stardust,0.501,0.499,10,-5.073,1,0.0322,0.474,9.14e-06,0.143,0.218,129.665,230320,4,korean pop
