prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0Z5iboHxPmyilWJQFnHZaY,Josh Baker,Bass Up To The Top,0.799,0.895,7,-6.125,1,0.0425,0.00677,0.388,0.117,0.723,127.005,196535,4
0,4qWz8NOjsXhW5BSUSkLJ2G,Beatpella House,Rob Roy,0.845,0.764,1,-3.784,0,0.0516,0.198,0.00309,0.135,0.91,116.977,160639,4
0,20jhQ8xRFGeAr5y5PV8Rwe,Astels,Blue Eyes,0.779,0.478,0,-10.319,0,0.187,0.523,2e-05,0.236,0.473,112.006,208401,4
0,0g3GwtbGrSZOJaGmHpQdEA,Emotional Oranges,Peak,0.856,0.798,0,-6.107,1,0.0826,0.0373,0.0175,0.104,0.656,118.004,168227,4
0,1YwWHm6Ad1fizVPaQ8nrco,Jengi,Take U,0.678,0.943,5,-4.306,0,0.0419,0.0479,0.018,0.106,0.581,131.986,162727,4
0,4oH7tOwRwU03GweO0gBoP5,Blackchild (ITA),So Good - Heat Mix,0.625,0.911,5,-7.991,0,0.0399,0.000218,0.173,0.103,0.49,128.972,240000,4
0,0XfRQzFsLzWuVeJh3iX5Tw,Makèz,Downstream,0.852,0.777,8,-8.278,1,0.0662,0.000462,0.0725,0.421,0.627,129.991,175180,4
0,5Ir9mqfAUnXkSkXHF1yvM0,Mochakk,Jealous,0.715,0.852,1,-6.001,1,0.057,0.00321,0.834,0.0412,0.45,127.996,256406,4
0,1bJRd2ey6ER7neSxZwYdAG,BL3SS,Kisses (feat. bbyclose),0.793,0.779,9,-4.609,0,0.0581,0.279,0.000311,0.314,0.687,142.002,138247,4
0,29I9dv9Nq704w0Oc5yFGsR,Disclosure,"She’s Gone, Dance On",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,226773,4
0,1Ar2McJ98hNvgsHlxLTPQc,Shygirl,mr useless,0.697,0.943,7,-4.152,1,0.0402,0.00177,0.00738,0.214,0.502,131.997,149507,4
0,1GZJu6ciZ55S8Kp1s8Z5ex,Peggy Gou,It Makes You Forget (Itgehane) - Edit,0.794,0.89,0,-9.438,1,0.0431,0.0177,0.468,0.0838,0.77,125.003,236160,4
0,0ih7Ul0l6ZvcI3jfqi27BL,Beatpella House,Candy Thief,0.84,0.955,1,-4.071,1,0.0588,0.0207,0.0246,0.0526,0.79,123.989,125323,4
0,09bwwB0fpgLQbWQmQ5Q5sm,Luuk Van Dijk,Good 4 U,0.71,0.912,10,-5.546,1,0.0341,0.00986,0.00108,0.0626,0.84,126.992,208434,4
0,2TbjVYIbgIh7jBAkSTCnaC,salute,lift off!,0.668,0.932,2,-4.146,0,0.0433,0.00227,0.624,0.0871,0.197,136.024,214392,4
0,1Rh8OSTma2g6BdfBYXiTrq,Maz,Nothing On Me,0.692,0.745,6,-7.785,0,0.0519,0.00184,0.879,0.131,0.302,122.015,242295,4
0,33oyHkoS7H92RWsecOKn6u,Majestic,Set My Heart On Fire (I'm Alive x And The Beat Goes On),0.551,0.873,0,-5.157,0,0.218,0.0347,6.45e-06,0.0997,0.583,119.988,179017,4
0,2UdCQIDwFvGhslUYZH5tRR,Beltran,Smack Yo',0.884,0.745,7,-7.892,1,0.135,0.00321,0.357,0.0921,0.735,126.992,245669,4
0,2arAYoniFUo3ojtcDEIhdl,Murphy's Law (UK),Ain't No Other Man - Rework,0.891,0.741,6,-6.458,1,0.0645,0.00111,0.0127,0.0723,0.454,127.979,154561,4
0,3i9QKRl5Ql3pgUfNdYBVTc,Fred again..,glow,0.65,0.903,4,-5.478,1,0.0436,0.0655,0.779,0.134,0.0681,129.043,453069,4
0,5e3NwBC0E6xjX9c1Uc8RHy,PAWSA,COLLECT THE COMMAS,0.847,0.576,7,-9.065,1,0.172,0.221,3.26e-05,0.339,0.772,131.022,221340,4
0,0P6AWOA4LG1XOctzaVu5tt,SZA,The Weekend - Funk Wav Remix,0.775,0.573,11,-4.933,1,0.0585,0.495,0,0.126,0.667,101.925,171806,4
0,49GpUfc9M09eGET6yBJUAj,Nitefreak,Gorah,0.597,0.755,1,-7.341,0,0.0336,0.000135,0.885,0.205,0.114,120.036,246000,4
0,6iGMRy5RDMiAdTpuMB5gAm,KETTAMA,Pretty Green Eyes (Sunset Ibiza Mix),0.599,0.927,1,-2.541,1,0.124,0.00478,0.063,0.156,0.462,142.988,258682,4
0,35lxsi9U65JKT03Voj2Dl5,Barry Can't Swim,Sunsleeper,0.64,0.909,2,-5.79,0,0.0351,0.00729,0.928,0.108,0.58,124.006,222183,4
0,3LDZY8eKfAQsUKAc6eeh96,Emotional Oranges,Not Like This (feat. ZHU),0.817,0.496,0,-7.017,0,0.0451,0.0292,0.458,0.067,0.815,108.01,206803,4
0,7pY3HE16Ir4ZFTEOmosP57,박혜진 Park Hye Jin,Like this,0.704,0.542,2,-11.167,1,0.0355,0.164,0.909,0.0779,0.18,125.06,245805,4
0,4ZnkygoWLzcGbQYCm3lkae,Troye Sivan,Rush,0.728,0.841,10,-7.682,0,0.0567,0.00242,9.09e-05,0.106,0.402,125.991,156391,4
0,7nRmfGNhHKEEu5o8yFXLXt,Disclosure,Magnets,0.704,0.626,10,-7.883,0,0.164,0.0645,1.33e-06,0.103,0.652,92.008,199246,4
0,1UlkeNTAI6j9xon4RcEVT2,Jenevieve,2NLuv (with Benziboy),0.856,0.564,5,-9.232,0,0.0501,0.407,0.114,0.124,0.158,120.0,170480,4
0,4l2asGydkfo8PUubrDHyMW,Caius,Lonely Place,0.804,0.578,11,-9.86,0,0.221,0.201,0.00267,0.592,0.595,123.024,177500,4
0,6o0gJtOgimGamRBTS80H5g,PAWSA,PICK UP THE PHONE (feat. Nate Dogg),0.811,0.688,10,-6.911,1,0.0747,0.00876,0.29,0.0894,0.548,128.975,224125,4
0,1w5HknXbhqJ1hlDKrIBooY,Shift K3Y,In Your Arms,0.837,0.732,1,-6.223,1,0.102,0.194,0.00875,0.0955,0.423,134.957,144000,4
0,1OSH8pXflR7SS4YJocZEqz,Astels,Grab Her Hand,0.847,0.71,0,-8.122,0,0.0856,0.207,0,0.107,0.695,116.037,200256,4
0,2bI6KAUqXeIXGAEEvup8ri,Wuki,Sunshine (My Girl),0.871,0.765,0,-4.602,1,0.116,0.00742,0.000196,0.0953,0.596,128.087,131250,4
0,5ai97hAB5rHiV2luX5NWw5,Hikaru Utada,Somewhere Near Marseilles ーマルセイユ辺りー,0.705,0.744,5,-7.692,1,0.033,0.0163,0.195,0.083,0.394,114.002,714585,4
0,2h945VWM1QyeqzbZ1dIN2i,jsilos,Down4Me,0.817,0.415,3,-11.788,0,0.223,0.0333,0.011,0.0968,0.469,117.879,170853,4
0,4HvBJocC5MDYL4yGnQe5jq,The Blessed Madonna,Happier (feat. Clementine Douglas),0.785,0.831,0,-3.681,1,0.0444,0.0038,0.0105,0.086,0.673,126.056,170359,4
